uri,primary_name_display,replaced
http://dx.doi.org/10.13039/501100001266,"Action Duchenne",
http://dx.doi.org/10.13039/501100008180,"Action for A-T",R
http://dx.doi.org/10.13039/100011731,"Action for A-T",
http://dx.doi.org/10.13039/100006723,"Action for Boston Community Development",
http://dx.doi.org/10.13039/100025248,"Action for Healthy Kids",
http://dx.doi.org/10.13039/501100001982,"Action for M.E.",
http://dx.doi.org/10.13039/501100006672,"Action LIONS Vaincre le Cancer",
http://dx.doi.org/10.13039/501100000317,"Action Medical Research",
http://dx.doi.org/10.13039/100009775,"Action on Addiction",
http://dx.doi.org/10.13039/501100000703,"Action on Hearing Loss",
http://dx.doi.org/10.13039/100020073,"Activate",
http://dx.doi.org/10.13039/100013293,"Active and Assisted Living programme",
http://dx.doi.org/10.13039/501100018845,"Active Biotech",
http://dx.doi.org/10.13039/100003561,"Activities Integrating Math and Science Education Foundation",
http://dx.doi.org/10.13039/501100002677,"ActoGeniX",
http://dx.doi.org/10.13039/100028614,"Acton Institute for the Study of Religion and Liberty",
http://dx.doi.org/10.13039/100007547,"Actualis",
http://dx.doi.org/10.13039/100007399,"Actuarial Foundation",
http://dx.doi.org/10.13039/501100001307,"Actuarial Profession",
http://dx.doi.org/10.13039/100019397,"Actuate Therapeutics",
http://dx.doi.org/10.13039/501100020962,"ACT-X",
http://dx.doi.org/10.13039/100014388,"Acumed",
http://dx.doi.org/10.13039/100031701,"ACWA Power",
http://dx.doi.org/10.13039/100006385,"Acxiom",
http://dx.doi.org/10.13039/100001440,"ADA Foundation",
http://dx.doi.org/10.13039/501100018808,"ADA Lovelace Center for Analytics, Data, Applications",
http://dx.doi.org/10.13039/501100015758,"Adama Science and Technology University",
http://dx.doi.org/10.13039/100015453,"Adamas Pharmaceuticals",
http://dx.doi.org/10.13039/100020178,"Adamas University",
http://dx.doi.org/10.13039/501100007823,"Adamawa State University, Mubi",
http://dx.doi.org/10.13039/100021149,"Adams County Community Foundation",
http://dx.doi.org/10.13039/100029767,"Adams-Mastrovich Family Foundation",
http://dx.doi.org/10.13039/100025188,"Adamson Ahdoot",
http://dx.doi.org/10.13039/100011463,"Adams State University",
http://dx.doi.org/10.13039/501100007539,"Adams Super Center for Brain Studies,Tel Aviv University",
http://dx.doi.org/10.13039/100004176,"Adam Taliaferro Foundation",
http://dx.doi.org/10.13039/100021035,"Adana Alparslan Türkeş Bilim ve Teknoloji Üniversitesi",
http://dx.doi.org/10.13039/501100009029,"Adaptable and Seamless Technology Transfer Program through Target-Driven R and D",
http://dx.doi.org/10.13039/100018107,"Adaptation Fund",
http://dx.doi.org/10.13039/100028780,"Adaptation Fund Climate Innovation Accelerator",
http://dx.doi.org/10.13039/501100014826,"ADAPT - Centre for Digital Content Technology",
http://dx.doi.org/10.13039/100016796,"Adaptive Biotechnologies",
http://dx.doi.org/10.13039/501100022772,"Ad Astra Chandaria Foundation",
http://dx.doi.org/10.13039/100023125,"Ada X",
http://dx.doi.org/10.13039/100005322,"ADC Foundation",
http://dx.doi.org/10.13039/501100002927,"Addenbrooke's Charitable Trust, Cambridge University Hospitals",
http://dx.doi.org/10.13039/100009661,"Addi and Cassi Fund",
http://dx.doi.org/10.13039/100032472,"Addis Ababa Science and Technology University",
http://dx.doi.org/10.13039/501100007941,"Addis Ababa University",
http://dx.doi.org/10.13039/100020415,"Additional Ventures",
http://dx.doi.org/10.13039/100013818,"ADEA Diabetes Research Foundation",
